Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D4, D5, D59, D6, D7, D8, D9",Diode_DO-35,30,Diode,
DISPLAY1,nice_view,1,nice!view,
J1,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,Resistor,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S4, S5, S59, S6, S7, S8, S9",MX_PCB_1.00u,30,Keyswitch,
SW1,Switch_MSK12C02,1,Switch,
SW2,Button_MJTP1243,1,Switch,
U2,Nice_Nano_V2_Flipped,1,Nice_Nano_V2,
U3,TRRS_PJ-320A,1,TRRS,
